Rank	Name	NetWorth	Age	Source	CountryOfCitizenship
#1	Bill Gates	$79.2 B	60	Microsoft	United States
#2	Carlos Slim Helu	$77.1 B	75	telecom	Mexico
#3	Warren Buffett	$72.7 B	85	Berkshire Hathaway	United States
#4	Amancio Ortega	$64.5 B	79	Zara	Spain
#5	Larry Ellison	$54.3 B	71	Oracle	United States
#6	Charles Koch	$42.9 B	80	diversified	United States
#6	David Koch	$42.9 B	75	diversified	United States
#8	Christy Walton	$41.7 B	60	Wal-Mart	United States
#9	Jim Walton	$40.6 B	67	Wal-Mart	United States
#10	Liliane Bettencourt	$40.1 B	93	L'Oreal	France
#11	Alice Walton	$39.4 B	66	Wal-Mart	United States
#12	S. Robson Walton	$39.1 B	71	Wal-Mart	United States
#13	Bernard Arnault	$37.2 B	66	LVMH	France
#14	Michael Bloomberg	$35.5 B	73	Bloomberg LP	United States
#15	Jeff Bezos	$34.8 B	51	Amazon.com	United States
#16	Mark Zuckerberg	$33.4 B	31	Facebook	United States
#17	Li Ka-shing	$33.3 B	87	diversified	Hong Kong
#18	Sheldon Adelson	$31.4 B	82	casinos	United States
#19	Larry Page	$29.7 B	42	Google	United States
#20	Sergey Brin	$29.2 B	42	Google	United States
#21	Georg Schaeffler	$26.9 B	51	ball bearings	Germany
#22	Forrest Mars, Jr.	$26.6 B	84	candy	United States
#22	Jacqueline Mars	$26.6 B	76	candy	United States
#22	John Mars	$26.6 B	79	candy	United States
#25	David Thomson	$25.5 B	58	media	Canada
#26	Jorge Paulo Lemann	$25 B	76	beer	Brazil
#27	Lee Shau Kee	$24.8 B	87	real estate	Hong Kong
#28	Stefan Persson	$24.5 B	68	H&M	Sweden
#29	George Soros	$24.2 B	85	hedge funds	United States
#29	Wang Jianlin	$24.2 B	61	real estate	China
#31	Carl Icahn	$23.5 B	79	investments	United States
#32	Maria Franca Fissolo	$23.4 B	97	Nutella, chocolates	Italy
#33	Jack Ma	$22.7 B	51	e-commerce	China
#34	Prince Alwaleed Bin Talal Alsaud	$22.6 B	60	investments	Saudi Arabia
#35	Steve Ballmer	$21.5 B	59	Microsoft	United States
#35	Phil Knight	$21.5 B	77	Nike	United States
#37	Beate Heister & Karl Albrecht Jr.	$21.3 B	-	supermarkets	Germany
#38	Li Hejun	$21.1 B	48	solar power equipment	China
#39	Mukesh Ambani	$21 B	58	petrochemicals, oil & gas	India
#40	Leonardo Del Vecchio	$20.4 B	80	eyeglasses	Italy
#41	Len Blavatnik	$20.2 B	58	diversified	United States
#41	Tadashi Yanai	$20.2 B	66	retail	Japan
#43	Charles Ergen	$20.1 B	62	Dish Network	United States
#44	Dilip Shanghvi	$20 B	60	pharmaceuticals	India
#45	Laurene Powell Jobs	$19.5 B	52	Apple, Disney	United States
#46	Dieter Schwarz	$19.4 B	76	retail	Germany
#47	Michael Dell	$19.2 B	50	Dell	United States
#48	Azim Premji	$19.1 B	70	software	India
#49	Theo Albrecht, Jr.	$19 B	64	Aldi, Trader Joe's	Germany
#50	Michael Otto	$18.1 B	72	retail, real estate	Germany
#51	Paul Allen	$17.5 B	62	Microsoft, investments	United States
#52	Joseph Safra	$17.3 B	76	banking	Brazil
#53	Anne Cox Chambers	$17 B	96	media	United States
#54	Susanne Klatten	$16.8 B	53	BMW, pharmaceuticals	Germany
#55	Pallonji Mistry	$16.3 B	86	construction	Ireland
#56	Ma Huateng	$16.1 B	44	internet media	China
#57	Patrick Drahi	$16 B	51	Telecom	France
#58	Thomas & Raymond Kwok	$15.9 B	-	real estate	Hong Kong
#59	Stefan Quandt	$15.6 B	49	BMW	Germany
#60	Ray Dalio	$15.4 B	66	hedge funds	United States
#60	Vladimir Potanin	$15.4 B	54	metals	Russia
#62	Serge Dassault	$15.3 B	90	aviation	France
#62	Robin Li	$15.3 B	47	internet search	China
#64	Donald Bren	$15.2 B	83	real estate	United States
#65	Francois Pinault	$14.9 B	79	retail	France
#66	Shiv Nadar	$14.8 B	70	information technology	India
#67	Aliko Dangote	$14.7 B	58	cement, sugar, flour	Nigeria
#68	Mikhail Fridman	$14.6 B	51	oil, banking, telecom	Russia
#69	Hinduja Brothers	$14.5 B	-	diversified	United Kingdom
#69	Ronald Perelman	$14.5 B	72	leveraged buyouts	United States
#71	Cheng Yu-tung	$14.4 B	90	diversified	Hong Kong
#71	Alisher Usmanov	$14.4 B	62	steel & mining, telecom, investments	Russia
#73	Henry Sy	$14.2 B	91	diversified	Philippines
#73	Viktor Vekselberg	$14.2 B	58	metals, energy	Russia
#75	Masayoshi Son	$14.1 B	58	internet, telecom	Japan
#76	James Simons	$14 B	77	hedge funds	United States
#77	German Larrea Mota Velasco	$13.9 B	62	mining	Mexico
#77	Rupert Murdoch	$13.9 B	84	media	United States
#77	Johanna Quandt	$13.9 B	89	BMW	Germany
#80	David & Simon Reuben	$13.7 B	72	investments, real estate	United Kingdom
#81	Dhanin Chearavanont	$13.6 B	76	food	Thailand
#82	Iris Fontbona	$13.5 B	72	mining	Chile
#82	Lui Che Woo	$13.5 B	85	casinos	Hong Kong
#82	Lakshmi Mittal	$13.5 B	65	steel	India
#85	Abigail Johnson	$13.4 B	54	money management	United States
#85	Luis Carlos Sarmiento	$13.4 B	82	banking	Colombia
#87	Lei Jun	$13.2 B	46	smartphones	China
#87	Charoen Sirivadhanabhakdi	$13.2 B	71	beverages	Thailand
#89	Alexey Mordashov	$13 B	50	steel, investments	Russia
#89	Marcel Herrmann Telles	$13 B	65	beer	Brazil
#91	Gerald Cavendish Grosvenor	$12.6 B	63	real estate	United Kingdom
#92	Hans Rausing	$12.5 B	89	packaging	Sweden
#92	Jack Taylor	$12.5 B	93	Enterprise Rent-A-Car	United States
#94	Charles Butt	$12.3 B	77	supermarkets	United States
#94	Gina Rinehart	$12.3 B	61	mining	Australia
#96	Vagit Alekperov	$12.2 B	65	oil	Russia
#96	Harold Hamm	$12.2 B	70	oil & gas	United States
#96	Patrick Soon-Shiong	$12.2 B	63	pharmaceuticals	United States
#99	Stefano Pessina	$12.1 B	74	drugstores	Italy
#100	Richard Kinder	$12 B	71	pipelines	United States
#100	Elon Musk	$12 B	44	Tesla Motors	United States
#100	Stephen Schwarzman	$12 B	68	investments	United States
#103	Klaus-Michael Kuehne	$11.9 B	78	shipping	Germany
